Date,Temp,Humidity,Wind,Precipitation,Events,weekday,dataid,meter_value,house_construction_year,total_square_footage,No_Gmachine
2015-10-01,82,52,1.7881599999999995,0.0, ,4,35,14.0,12.0,12.4,0
2015-10-02,78,45,2.2352,0.0, ,5,35,38.0,12.0,12.4,0
2015-10-03,72,40,1.34112,0.0, ,6,35,28.0,12.0,12.4,0
2015-10-04,73,45,0.8940799999999999,0.0, ,7,35,38.0,12.0,12.4,0
2015-10-05,76,45,0.8940799999999999,0.0, ,1,35,34.0,12.0,12.4,0
2015-10-06,77,44,1.34112,0.0, ,2,35,32.0,12.0,12.4,0
2015-10-07,77,54,1.34112,0.0, ,3,35,46.0,12.0,12.4,0
2015-10-08,80,64,1.34112,0.0, ,4,35,16.0,12.0,12.4,0
2015-10-09,80,62,0.8940799999999999,0.0, ,5,35,8.0,12.0,12.4,0
2015-10-10,79,56,1.34112,0.0, ,6,35,8.0,12.0,12.4,0
2015-10-11,80,55,1.7881599999999995,0.0, ,7,35,8.0,12.0,12.4,0
2015-10-12,86,62,2.68224,0.0, ,1,35,34.0,12.0,12.4,0
2015-10-13,79,45,2.2352,0.0, ,2,35,28.0,12.0,12.4,0
2015-10-14,78,36,1.34112,0.0, ,3,35,32.0,12.0,12.4,0
2015-10-15,79,55,1.7881599999999995,0.0, ,4,35,22.0,12.0,12.4,0
2015-10-16,76,60,0.8940799999999999,0.0, ,5,35,24.0,12.0,12.4,0
2015-10-17,75,46,1.7881599999999995,0.0, ,6,35,32.0,12.0,12.4,0
2015-10-18,71,33,1.7881599999999995,0.0, ,7,35,48.0,12.0,12.4,0
2015-10-19,70,46,1.7881599999999995,0.0, ,1,35,30.0,12.0,12.4,0
2015-10-20,73,61,1.7881599999999995,0.0, ,2,35,38.0,12.0,12.4,0
2015-10-21,79,71,3.5763199999999995,0.0001,Rain,3,35,32.0,12.0,12.4,0
2015-10-22,76,85,3.12928,0.16,Rain,4,35,42.0,12.0,12.4,0
2015-10-23,76,91,2.68224,0.43,"Rain , Thunderstorm",5,35,20.0,12.0,12.4,0
2015-10-24,68,94,4.02336,4.79,Rain,6,35,42.0,12.0,12.4,0
2015-10-25,61,89,4.02336,0.65,Rain,7,35,36.0,12.0,12.4,0
2015-10-26,69,62,2.68224,0.0, ,1,35,,12.0,12.4,0
2015-10-27,71,61,1.34112,0.0, ,2,35,46.0,12.0,12.4,0
2015-10-28,70,53,1.7881599999999995,0.0, ,3,35,24.0,12.0,12.4,0
2015-10-29,66,66,1.7881599999999995,0.0, ,4,35,54.0,12.0,12.4,0
2015-10-30,71,90,3.5763199999999995,4.93,"Fog , Rain , Thunderstorm",5,35,42.0,12.0,12.4,0
2015-10-31,71,82,1.7881599999999995,0.89,"Rain , Thunderstorm",6,35,38.0,12.0,12.4,0
2015-11-01,67,75,1.34112,0.07,Rain,7,35,58.0,12.0,12.4,0
2015-11-02,68,75,1.34112,0.0,Fog,1,35,34.0,12.0,12.4,0
2015-11-03,69,74,1.34112,0.0,Fog,2,35,46.0,12.0,12.4,0
2015-11-04,70,82,2.2352,0.0001,Rain,3,35,48.0,12.0,12.4,0
2015-11-05,79,83,2.68224,0.05,"Rain , Thunderstorm",4,35,46.0,12.0,12.4,0
2015-11-06,68,62,1.34112,0.02,Rain,5,35,54.0,12.0,12.4,0
2015-11-07,60,79,3.5763199999999995,0.53,"Fog , Rain",6,35,34.0,12.0,12.4,0
2015-11-08,62,56,2.2352,0.0, ,7,35,46.0,12.0,12.4,0
2015-11-09,63,66,0.44704,0.0, ,1,35,52.0,12.0,12.4,0
